DATE,KOSPI,SP500,VIX,DXY
2020-01-01,2175.169921875,3230.780029296875,13.779999732971191,96.38999938964844
2020-01-02,2175.169921875,3257.85009765625,12.470000267028809,96.8499984741211
2020-01-03,2176.4599609375,3234.85009765625,14.020000457763672,96.83999633789062
2020-01-04,2176.4599609375,3234.85009765625,14.020000457763672,96.83999633789062
2020-01-05,2176.4599609375,3234.85009765625,14.020000457763672,96.83999633789062
2020-01-06,2155.070068359375,3246.280029296875,13.850000381469727,96.66999816894531
2020-01-07,2175.5400390625,3237.179931640625,13.789999961853027,96.9800033569336
2020-01-08,2151.31005859375,3253.050048828125,13.449999809265137,97.30000305175781
2020-01-09,2186.449951171875,3274.699951171875,12.539999961853027,97.44999694824219
2020-01-10,2206.389892578125,3265.35009765625,12.5600004196167,97.36000061035156
2020-01-11,2206.389892578125,3265.35009765625,12.5600004196167,97.36000061035156
2020-01-12,2206.389892578125,3265.35009765625,12.5600004196167,97.36000061035156
2020-01-13,2229.260009765625,3288.1298828125,12.319999694824219,97.3499984741211
2020-01-14,2238.8798828125,3283.14990234375,12.390000343322754,97.37000274658203
2020-01-15,2230.97998046875,3289.2900390625,12.420000076293945,97.2300033569336
2020-01-16,2248.050048828125,3316.81005859375,12.319999694824219,97.31999969482422
2020-01-17,2250.570068359375,3329.6201171875,12.100000381469727,97.61000061035156
2020-01-18,2250.570068359375,3329.6201171875,12.100000381469727,97.61000061035156
2020-01-19,2250.570068359375,3329.6201171875,12.100000381469727,97.61000061035156
2020-01-20,2262.639892578125,3329.6201171875,12.100000381469727,97.61000061035156
2020-01-21,2239.68994140625,3320.7900390625,12.850000381469727,97.52999877929688
2020-01-22,2267.25,3321.75,12.90999984741211,97.52999877929688
2020-01-23,2246.1298828125,3325.5400390625,12.979999542236328,97.69000244140625
2020-01-24,2246.1298828125,3295.469970703125,14.5600004196167,97.8499984741211
2020-01-25,2246.1298828125,3295.469970703125,14.5600004196167,97.8499984741211
2020-01-26,2246.1298828125,3295.469970703125,14.5600004196167,97.8499984741211
2020-01-27,2246.1298828125,3243.6298828125,18.229999542236328,97.95999908447266
2020-01-28,2176.719970703125,3276.239990234375,16.280000686645508,98.0199966430664
2020-01-29,2185.280029296875,3273.39990234375,16.389999389648438,97.98999786376953
2020-01-30,2148.0,3283.659912109375,15.489999771118164,97.87000274658203
2020-01-31,2119.010009765625,3225.52001953125,18.84000015258789,97.38999938964844
2020-02-01,2119.010009765625,3225.52001953125,18.84000015258789,97.38999938964844
2020-02-02,2119.010009765625,3225.52001953125,18.84000015258789,97.38999938964844
2020-02-03,2118.8798828125,3248.919921875,17.969999313354492,97.80000305175781
2020-02-04,2157.89990234375,3297.590087890625,16.049999237060547,97.95999908447266
2020-02-05,2165.6298828125,3334.68994140625,15.149999618530273,98.2699966430664
2020-02-06,2227.93994140625,3345.780029296875,14.960000038146973,98.5
2020-02-07,2211.949951171875,3327.7099609375,15.470000267028809,98.68000030517578
2020-02-08,2211.949951171875,3327.7099609375,15.470000267028809,98.68000030517578
2020-02-09,2211.949951171875,3327.7099609375,15.470000267028809,98.68000030517578
2020-02-10,2201.070068359375,3352.090087890625,15.039999961853027,98.83000183105469
2020-02-11,2223.1201171875,3357.75,15.180000305175781,98.72000122070312
2020-02-12,2238.3798828125,3379.449951171875,13.739999771118164,99.05000305175781
2020-02-13,2232.9599609375,3373.93994140625,14.149999618530273,99.06999969482422
2020-02-14,2243.590087890625,3380.159912109375,13.680000305175781,99.12000274658203
2020-02-15,2243.590087890625,3380.159912109375,13.680000305175781,99.12000274658203
2020-02-16,2243.590087890625,3380.159912109375,13.680000305175781,99.12000274658203
2020-02-17,2242.169921875,3380.159912109375,13.680000305175781,99.12000274658203
2020-02-18,2208.8798828125,3370.2900390625,14.829999923706055,99.45999908447266
2020-02-19,2210.340087890625,3386.14990234375,14.380000114440918,99.5999984741211
2020-02-20,2195.5,3373.22998046875,15.5600004196167,99.87000274658203
2020-02-21,2162.840087890625,3337.75,17.079999923706055,99.26000213623047
2020-02-22,2162.840087890625,3337.75,17.079999923706055,99.26000213623047
2020-02-23,2162.840087890625,3337.75,17.079999923706055,99.26000213623047
2020-02-24,2079.0400390625,3225.889892578125,25.030000686645508,99.29000091552734
2020-02-25,2103.610107421875,3128.2099609375,27.850000381469727,98.97000122070312
2020-02-26,2076.77001953125,3116.389892578125,27.559999465942383,99.0
2020-02-27,2054.889892578125,2978.760009765625,39.15999984741211,98.44000244140625
2020-02-28,1987.010009765625,2954.219970703125,40.11000061035156,98.12999725341797
2020-02-29,1987.010009765625,2954.219970703125,40.11000061035156,98.12999725341797
2020-03-01,1987.010009765625,2954.219970703125,40.11000061035156,98.12999725341797
2020-03-02,2002.510009765625,3090.22998046875,33.41999816894531,97.36000061035156
2020-03-03,2014.1500244140625,3003.3701171875,36.81999969482422,97.1500015258789
2020-03-04,2059.330078125,3130.1201171875,31.989999771118164,97.33999633789062
2020-03-05,2085.260009765625,3023.93994140625,39.619998931884766,96.81999969482422
2020-03-06,2040.219970703125,2972.3701171875,41.939998626708984,95.94999694824219
2020-03-07,2040.219970703125,2972.3701171875,41.939998626708984,95.94999694824219
2020-03-08,2040.219970703125,2972.3701171875,41.939998626708984,95.94999694824219
